#
# Female Routing
#
LFSexytimesFemale1T;In The Bedroom;;;;;;;;;;;;;x
LFSexytimesFemale1Male;Feeling that unmistakable urge between my legs, I bite my lip and gaze at [lf_sex_partner.GetFirstName] seductively. He picks up on my intentions, and we both head to my bedchambers, disrobing once the door is shut and locked. Fully naked and locked in each others' arms, I say to him...;;;;;;;;;;;;;x
LFSexytimesFemale1Fem;Feeling that unmistakable urge between my legs, I bite my lip and gaze at [lf_sex_partner.GetFirstName] seductively. She picks up on my intentions, and we both head to my bedchambers, disrobing once the door is shut and locked. Fully naked and locked in each others' arms, I say to her...;;;;;;;;;;;;;x
LFSexytimesFemale1Futa;Feeling that unmistakable urge between my legs, I bite my lip and gaze at [lf_sex_partner.GetFirstName] seductively. She picks up on my intentions, and we both head to my bedchambers, disrobing once the door is shut and locked. Fully naked and locked in each others' arms, I say to her...;;;;;;;;;;;;;x
LFSexytimesFemale1Standard;"Let us enjoy our time together.";;;;;;;;;;;;;x
LFSexytimesFemale1Dom;"Get on your knees and call me Mistress, pet.";;;;;;;;;;;;;x
LFSexytimesFemale1Sub;"I am yours to use, my [lf_sex_partner.GetMasterMistress].";;;;;;;;;;;;;x
#
# Female Dom Routing
#
LFSexytimesFemale2Male;[lf_sex_partner.GetFirstName] whimpers but gets down on his knees. "I am yours, my Mistress," he speaks softly while kissing and licking your legs. Your pet certainly knows his place. And now that he does, you have a choice of what to make him do.;;;;;;;;;;;;;x
LFSexytimesFemale2Futa;[lf_sex_partner.GetFirstName] whimpers but gets down on her knees. "I am yours, my Mistress," she speaks softly while kissing and licking your legs. Your pet certainly knows her place. And now that she does, you have a choice of what to make her do.;;;;;;;;;;;;;x
LFSexytimesFemale2Fem;[lf_sex_partner.GetFirstName] whimpers but gets down on her knees. "I am yours, my Mistress," she speaks softly while kissing and licking your legs. Your pet certainly knows her place. And now that she does, you have a choice of what to make her do.;;;;;;;;;;;;;x
LFSexytimesFemale2TTOral;"Put your tongue to good use, pet." (Oral);;;;;;;;;;;;;x
LFSexytimesFemale2TTVag;"Put your cock to good use, pet." (Vaginal);;;;;;;;;;;;;x
LFSexytimesFemale2TTAnal;"Put your cock to good use, pet." (Anal);;;;;;;;;;;;;x
#
# Female Standard Routing
#
LFSexytimesFemale3Male;[lf_sex_partner.GetFirstName] growls softly in your ear as his hands roam across your body. His groping is gentle, and you reward him in kind with your fingers locked around his erect shaft. You whisper into his ear...;;;;;;;;;;;;;x
LFSexytimesFemale3Fem;[lf_sex_partner.GetFirstName] growls softly in your ear as her hands roam across your body. Her groping is gentle, and you reward him in kind with your fingers softly stroking her wet mound. You whisper into her ear...;;;;;;;;;;;;;x
LFSexytimesFemale3Futa;[lf_sex_partner.GetFirstName] growls softly in your ear as her hands roam across your body. Her groping is gentle, and you reward her in kind with your fingers locked around her erect shaft. You whisper into her ear...;;;;;;;;;;;;;x
LFSexytimesFemale3TTOral;"Tonight, I want us to use our mouths.";;;;;;;;;;;;;x
LFSexytimesFemale3TTVag;"Fill my pussy, darling.";;;;;;;;;;;;;x
LFSexytimesFemale3TTAnal;"Take my ass, love.";;;;;;;;;;;;;x
#
# Female Sub Results
#
