#
# Male Routing
#
LFSexytimesMale1T;In The Bedroom;;;;;;;;;;;;;x
LFSexytimesMale1Male;Feeling that unmistakable urge between my legs, I bite my lip and gaze at [lf_sex_partner.GetFirstName] seductively. He picks up on my intentions, and we both head to my bedchambers, disrobing once the door is shut and locked. Fully naked and locked in each others' arms, I say to him...;;;;;;;;;;;;;x
LFSexytimesMale1Fem;Feeling that unmistakable urge between my legs, I bite my lip and gaze at [lf_sex_partner.GetFirstName] seductively. She picks up on my intentions, and we both head to my bedchambers, disrobing once the door is shut and locked. Fully naked and locked in each others' arms, I say to her...;;;;;;;;;;;;;x
LFSexytimesMale1Futa;Feeling that unmistakable urge between my legs, I bite my lip and gaze at [lf_sex_partner.GetFirstName] seductively. She picks up on my intentions, and we both head to my bedchambers, disrobing once the door is shut and locked. Fully naked and locked in each others' arms, I say to her...;;;;;;;;;;;;;x
LFSexytimesMale1Standard;"Let us enjoy our time together.";;;;;;;;;;;;;x
LFSexytimesMale1Dom;"Get on your knees and call me Master, pet.";;;;;;;;;;;;;x
LFSexytimesMale1Sub;"I am yours to use, my [lf_sex_partner.GetMasterMistress].";;;;;;;;;;;;;x
#
# Male Dom Routing
#
LFSexytimesMale2Male;[lf_sex_partner.GetFirstName] whimpers but gets down on his knees. "I am yours, my Master," he speaks softly while kissing and licking your legs. Your pet certainly knows his place. And now that he does, you have a choice of what to make him do.;;;;;;;;;;;;;x
LFSexytimesMale2Futa;[lf_sex_partner.GetFirstName] whimpers but gets down on her knees. "I am yours, my Master," she speaks softly while kissing and licking your legs. Your pet certainly knows her place. And now that she does, you have a choice of what to make her do.;;;;;;;;;;;;;x
LFSexytimesMale2Fem;[lf_sex_partner.GetFirstName] whimpers but gets down on her knees. "I am yours, my Master," she speaks softly while kissing and licking your legs. Your pet certainly knows her place. And now that she does, you have a choice of what to make her do.;;;;;;;;;;;;;x
LFSexytimesMale2TTOral;"Put your mouth to good use, pet." (Oral);;;;;;;;;;;;;x
LFSexytimesMale2TTVag;"My cock is going in you, pet. (Vaginal);;;;;;;;;;;;;x
LFSexytimesMale2TTAnal;"My cock is going in you, pet." (Anal);;;;;;;;;;;;;x
#
# Male Standard Routing
#
LFSexytimesMale3Male;[lf_sex_partner.GetFirstName] growls softly in your ear as his hands roam across your body. His groping is gentle, and you reward him in kind with your fingers locked around his erect shaft. You whisper into his ear...;;;;;;;;;;;;;x
LFSexytimesMale3Fem;[lf_sex_partner.GetFirstName] growls softly in your ear as her hands roam across your body. Her groping is gentle, and you reward her in kind with your fingers softly stroking her wet mound. You whisper into her ear...;;;;;;;;;;;;;x
