lf_wizards_summon_familiar;§YSpell:§! Summon Familiar;;;;;;;;;;;;;x
lf_wizards_summon_familiar_desc;As a practitioner of magic, §Y[From.GetTitledFirstName]§! can summon a familiar of [From.GetHerHis] choice. This supernatural guardian will grant §Y[From.GetTitledFirstName]§! its powers by increasing [From.GetHerHis] attributes.;;;;;;;;;;;;;x

lf_spell_of_fairy_fire;§YSpell:§! Fairy Fire;;;;;;;;;;;;;x
lf_spell_of_fairy_fire_desc;As a practitioner of magic, §Y[From.GetTitledFirstName]§! can cast a spell on any courtier in [From.GetHerHis] own realm. This will make them sparkle with an unnatural- yet warm- glow. Its effects are enhanced on vampires for some reason.\nMana required to cast this spell: 10\nCurrent Mana: [From.current_mana.GetValue]/[From.max_mana.GetValue];;;;;;;;;;;;;x

lf_wizards_spell_of_body_enslavement;§YSpell:§! Enslavement;;;;;;;;;;;;;x
lf_wizards_spell_of_body_enslavement_desc;As a practitioner of magic, §Y[From.GetTitledFirstName]§! can cast a spell to enslave any courtier in [From.GetHerHis] own realm who has negative opinion of [From.GetHerHim]. This will make them a branded slave.\nMana required to cast this spell: 10\nCurrent Mana: [From.current_mana.GetValue]/[From.max_mana.GetValue];;;;;;;;;;;;;x

lf_wizards_spell_of_heart_enslavement;§YSpell:§! [From.GetLilithName]'s Lust;;;;;;;;;;;;;x
lf_wizards_spell_of_heart_enslavement_desc;As a practitioner of magic, §Y[From.GetTitledFirstName]§! can cast a spell to enslave the mind of any courtier or vassal in [From.GetHerHis] own realm who has positive opinion of [From.GetHerHim]. This will make them a lover... and potentially a parent.\nMana required to cast this spell: 10\nCurrent Mana: [From.current_mana.GetValue]/[From.max_mana.GetValue];;;;;;;;;;;;;x

lf_wizards_spell_of_fireball;§YSpell:§! Fireball;;;;;;;;;;;;;x
lf_wizards_spell_of_fireball_desc;As a practitioner of magic, §Y[From.GetTitledFirstName]§! can cast a spell to incinerate any courtier in [From.GetHerHis] own realm who has negative opinion of [From.GetHerHim] or is a rival. This will fry them to a crisp, but the aiming is a bit off.\nMana required to cast this spell: 25\nCurrent Mana: [From.current_mana.GetValue]/[From.max_mana.GetValue];;;;;;;;;;;;;x

lf_wizards_spell_of_flamestrike;§YSpell:§! Flamestrike;;;;;;;;;;;;;x
lf_wizards_spell_of_flamestrike_desc;As a practitioner of magic, §Y[From.GetTitledFirstName]§! can cast a spell to incinerate any independent ruler's holder. This will destroy a random building in their demesne, but the aiming is a bit off.\nMana required to cast this spell: 50\nCurrent Mana: [From.current_mana.GetValue]/[From.max_mana.GetValue];;;;;;;;;;;;;x

lf_a_wizards_buy_spellbook;Buy a Spellbook;;;;;;;;;;;;;x
lf_a_wizards_buy_spellbook_desc;Every good magic user needs a book of spells. Without a spellbook, you will be unable to cast any spells. Thankfully, your court has a wide variety of them to sell. The fancier the book, the better spells it can hold.;;;;;;;;;;;;;x

LFSpells2T;LF - Spell of Enslavement;;;;;;;;;;;;;x
LFSpells2;You add the ingredients to the cauldron and focus on your target while chanting the magic words...;;;;;;;;;;;;;x
LFSpells2TT;Let the chains bind!;;;;;;;;;;;;;x
LFSpells2TTSuccess;The spell succeeds!;;;;;;;;;;;;;x
LFSpells2TTFail;The spell backfires!;;;;;;;;;;;;;x

LFSpells3T;LF - Spell of [GetLilithName]'s Lust;;;;;;;;;;;;;x
LFSpells3;You add the ingredients to the cauldron and focus on your target while chanting the magic words...;;;;;;;;;;;;;x
LFSpells3TT;Let [spell_target.GetHerHis] heart be mine!;;;;;;;;;;;;;x
LFSpells3TTSuccess;The spell succeeds!;;;;;;;;;;;;;x
LFSpells3TTFail;The spell works only for tonight.;;;;;;;;;;;;;x

LFSpells4T;LF - Spell of Fireball;;;;;;;;;;;;;x
LFSpells4;You add the ingredients to the cauldron and focus on your target while chanting the magic words...;;;;;;;;;;;;;x
LFSpells4TT;Let [spell_target.GetHerHis] body burn!;;;;;;;;;;;;;x
LFSpells4TTMissed;The spell misses the target.;;;;;;;;;;;;;x
LFSpells4TTFail;The spell misses the target, but hits someone else...;;;;;;;;;;;;;x
LFSpells4TTKilled;The spell hits the target!;;;;;;;;;;;;;x

LFSpells5T;LF - Spell of Flamestrike;;;;;;;;;;;;;x
LFSpells5;You add the ingredients to the cauldron and focus on your target while chanting the magic words...;;;;;;;;;;;;;x
LFSpells5TT;Let [spell_target.GetHerHis] domain burn!;;;;;;;;;;;;;x
LFSpells5TTFail;The spell misses the target.;;;;;;;;;;;;;x
LFSpells5TTDestroyed;The spell burns down a building!;;;;;;;;;;;;;x

LFSpells6T;LF - Shopping;;;;;;;;;;;;;x
