#
# Luxuria Fantasia Options Menu
#

DemonOn;Demonic/Fallen content is ON.\n;;;;;;;;;;;;;x
DemonOff;Demonic/Fallen content is OFF. Existing demons will still remain. Society of Seduction disabled.\n;;;;;;;;;;;;;x
DivineOn;Divine content is ON.\n;;;;;;;;;;;;;x
DivineOff;Divine content is OFF. Existing divines will still remain.\n;;;;;;;;;;;;;x
ElfOn;Elven content is ON.\n;;;;;;;;;;;;;x
ElfOff;Elven content is OFF. Existing elvens will still remain.\n;;;;;;;;;;;;;x
OrcOn;Orcish content is ON.\n;;;;;;;;;;;;;x
OrcOff;Orcish content is OFF. Existing orcs will still remain.\n;;;;;;;;;;;;;x
FairyOn;Fairy content is ON.\n;;;;;;;;;;;;;x
FairyOff;Fairy content is OFF. Existing fairies will still remain.\n;;;;;;;;;;;;;x
KitsuneOn;Kitsune content is ON.\n;;;;;;;;;;;;;x
KitsuneOff;Kitsune content is OFF. Existing kitsune will still remain.\n;;;;;;;;;;;;;x
NekoOn;Neko content is ON.\n;;;;;;;;;;;;;x
NekoOff;Neko content is OFF. Existing nekos will still remain.\n;;;;;;;;;;;;;x
ClassicOn;Random vampire attacks are ON.\n;;;;;;;;;;;;;x
ClassicOff;Random vampire attacks are OFF.\n;;;;;;;;;;;;;x
ClassicBFOff;Blood Feud attacks are OFF.\n;;;;;;;;;;;;;x
ClassicBFNoFatal;Blood Feud attacks are ON. Failure is never fatal.\n;;;;;;;;;;;;;x
ClassicBFOn;Blood Feud attacks are ON. Failure results in death.\n;;;;;;;;;;;;;x
GhostsOn;Ghosts will RARELY appear.\n;;;;;;;;;;;;;x
GhostsOff;Ghosts will NEVER appear.\n;;;;;;;;;;;;;x
GenderBendOn;Futa, Masculine, and Feminine content is ON.\n;;;;;;;;;;;;;x
GenderBendOff;Futa, Masculine, and Feminine content is OFF.\n;;;;;;;;;;;;;x
HalfDragonOn;Half-dragon content is ON.\n;;;;;;;;;;;;;x
HalfDragonOff;Half-dragon content is OFF.\n;;;;;;;;;;;;;x
DragonOn;DWSE Dragonic content is ON.\n;;;;;;;;;;;;;x
DragonOff;DWSE Dragonic content is OFF.\n;;;;;;;;;;;;;x
SpecialNPCsOn;Special NPCs will RARELY spawn.\n;;;;;;;;;;;;;x
SpecialNPCsOff;Special NPCs will NEVER spawn.\n;;;;;;;;;;;;;x
DWERapeNotInstalled;(Rape) Dark World Extras is not installed.\n;;;;;;;;;;;;;x
DWERapeOn;(Rape) Dark World Extras rape content is ON.\nDark World Extras siege events are ENABLED.\n;;;;;;;;;;;;;x
DWERapeOff;(Rape) Dark World Extras rape content is OFF.\n;;;;;;;;;;;;;x
DWERapeHalf;(Rape) Dark World Extras rape content is ON.\nDark World Extras siege events are DISABLED in favor of DZM/DZE.\n;;;;;;;;;;;;;x
DWEBestialityNotInstalled;(Bestiality) Dark World Extras is not installed.\n;;;;;;;;;;;;;x
DWEBestialityOn;(Bestiality) Dark World Extras animal sex content is ON.\n;;;;;;;;;;;;;x
DWEBestialityOff;(Bestiality) Dark World Extras animal sex content is Off.\n;;;;;;;;;;;;;x
DWRReplacerOn;(DWR) Luxuria Fantasia will use the LF traits.\n;;;;;;;;;;;;;x
DWRReplacerOff;(DWR) Luxuria Fantasia will use DWR traits.\n;;;;;;;;;;;;;x
DWRReplacerOfftont;(DWR) Luxuria Fantasia will use DWR traits. Exception: Kitsune.\n;;;;;;;;;;;;;x
DWRNotInstalled;Dark World Reborn is not installed.\n;;;;;;;;;;;;;x
SillyOn;Silly Mode is ON.\n;;;;;;;;;;;;;x
SillyOff;Silly Mode is OFF.\n;;;;;;;;;;;;;x
FutaEmpireOn;Futa Empire is ON. Female children born from futas will have a higher chance of being a futa themselves.\n;;;;;;;;;;;;;x
FutaEmpireOff;Futa Empire is OFF. Female children born from futas will have the standard futa inheritance chance.\n;;;;;;;;;;;;;x
NSFWOn;NSFW Mode is ON. Enjoy the smut.\n;;;;;;;;;;;;;x
NSFWOff;NSFW Mode is OFF. All decisions/pictures related to sex will be removed.\n;;;;;;;;;;;;;x


lf_a_luxuria_fantasia_options;Luxuria Fantasia Options Menu;;;;;;;;;;;;;x
lf_a_luxuria_fantasia_options_desc;This is the options menu for Luxuria Fantasia. You can set various content rules here.;;;;;;;;;;;;;x
LFOptionsNextPage;Next page;;;;;;;;;;;;;x
LFOptionsGoBack;Go back to the hub;;;;;;;;;;;;;x
LFOptionsFirstPage;First page;;;;;;;;;;;;;x
LFOptionsExit;Exit;;;;;;;;;;;;;x
LFOptions1;This is the Luxuria Fantasia Options Menu. Here, you can set various content on or off. If you do not have the appropriate module installed, the options wont do anything.\n\n[DemonOnOff][DivineOnOff][ElfOnOff][OrcOnOff][FairyOnOff][KitsuneOnOff][NekoOnOff][ClassicOnOff][BFAttacksOnOff][GhostsOnOff][FairyTaleOnOff][DragonOnOff]\n[GenderBendOnOff][FutaEmpireOnOff][SillyOnOff][SpecialNPCsOnOff][NSFWOnOff]\n[DWRReplacerOnOff];;;;;;;;;;;;;x
LFOptions2A;Heaven & Hell content;;;;;;;;;;;;;x
LFOptions2B;Fae content;;;;;;;;;;;;;x
