#Event Titles
lf_hunted_by_vampire_title;Luxuria: Hunted;;;;;;;;;;;;;x
lf_desmona_title;Desmona;;;;;;;;;;;;;x

#Event Descriptions
LFNight4000.0;I return to my chambers after a long day in court. Upon entering I find Desmona, blood dribbling down her chin, where it further drips upon her cleavage. There is blood sprayed all around my room, with no clear source, save a blackened husk that lays not far from her feet.\n  "Looks like someone was hoping to make a meal of you my [Root.GetLordLady]. I thought I picked up an unnatural scent, and I followed it here, where you had a visitor lurking in the shadows. Alas, they weren't expecting me."\n  I choke down urge to heave, and I wonder if it's from the sight of so much blood sprayed about my room or from watching Desmona's smirk as she drinks from a cup that's filled with it.  I lean out of the door, calling for a servant to clean up the mess.\n  Turning back to Desmona, I ask if it's a vampire that she's familiar with, or if this is the sign of something more? With a sigh of relief, she shares that it didn't match the description of one who has been hunting her. It could be a progeny of one, but it wasn't willing to answer her questions. As far as being part of something larger, she's uncertain.\n  I hear the servant gasp behind me as they reach my doorway. Desmona smiles and slips out while I give the servant instructions on what I want cleaned up.;;;;;;;;;;;;;x
LFNight4000.1;I return to my chambers after a long day in court. I grumble in annoyance at the lack of light, assuming that my servants are lacking in a simple responsibility of ensuring my chambers are properly lit.\n  I move to light a candle, when I feel a breeze, and the hairs on the back of my neck raise in warning. I turn towards the window, and I see a creature in the shadows. Its skin is sickly grey, with pupiless eyes that seem to reflect the light of the single candle flame that fights on. I feel it's will, demanding that I stay put as I see it emerge from the shadows, it's mouth, opening to display a row of distorted teeth, with hideously enlarged canines. I hear the blood in my body roar to life, and I take an audible breath, only then realizing that I wasn't breathing as it began to step towards me.\n  This creature is obviously a vampire, one which is here for me. I feel my adrenaline snapping whatever power it was using to try and hold me in place. The only question now, is how do I respond?;;;;;;;;;;;;;x
LFNight4000A;I'm grateful Desmona was here.;;;;;;;;;;;;;x
LFNight4000B;I shall fight.;;;;;;;;;;;;;x
LFNight4000BSilly;IT'S TIME TO D-D-D-D-D-D-D-DUEL!;;;;;;;;;;;;;x

