#
# Bloodline
#

demonic_bloodline;Bloodline of the Seducer;;;;;;;;;;;;;x
demonic_bloodline_desc;[This.Founder.GetBestName] seduced enough pawns into their bed to earn the attention and favor of powerful sex-crazed demons.;;;;;;;;;;;;;x
lf_a_claim_demonic_bloodline;Claim your Demonic Birthright;;;;;;;;;;;;;x
lf_a_claim_demonic_bloodline_desc;[GetLilithName] is pleased that her faithful child is so seductive. She is willing to enhance your lineage. It would not be a wise idea to turn her offer down.;;;;;;;;;;;;;x
LFDemonsSeductionSuccesses;The current number of people you have bedded with Demonnic Seduction before bedding [From.GetFirstName] is §Y[Root.lilith_seduction.GetValue]§!.;;;;;;;;;;;;;x

#
# CBs
#

lf_rivalry_cb_hh;Blood Feud;;;;;;;;;;;;;;x
lf_rivalry_cb_hh_desc;A neighbor of ours is a long-hated enemy. It's time to wipe them off the map.;;;;;;;;;;;;;;x
lf_mindslave_war;Mindslave War;;;;;;;;;;;;;;x
lf_mindslave_war_desc;You shouldn't be seeing this.;;;;;;;;;;;;;;x

#
# Traits
#

lf_asexual;Asexual;;;;;;;;;;;;;;x
lf_asexual_desc;This character has zero interest in sex.;;;;;;;;;;;;;;x
lf_demon;[GetDemonType];;;;;;;;;;;;;x
lf_demon_desc;A full-blooded demon, this character is a child of [GetLilithName].;;;;;;;;;;;;;x
lf_demon_bf;[GetDemonType] (§RBlood Feud§!);;;;;;;;;;;;;x
lf_demon_bf_desc;A full-blooded demon, this character is a child of [GetLilithName].;;;;;;;;;;;;;x
lf_halfdemon;[GetHalfDemonType];;;;;;;;;;;;;x
lf_halfdemon_desc;A half-blooded demon, this character is descended from [GetLilithName].;;;;;;;;;;;;;x

#
# Custom Loc
#

Succubus;Succubus;;;;;;;;;;;;;x
Incubus;Incubus;;;;;;;;;;;;;x
AluFiend;Alu-fiend;;;;;;;;;;;;;x
Cambion;Cambion;;;;;;;;;;;;;x
GenericDemon;Demon;;;;;;;;;;;;;x
GenericHalfDemon;Half-Demon;;;;;;;;;;;;;x

#
# Modifier Definitions
#

lf_angel_opinion_EXPLANATION; (opinion from the divine);;;;;;;;;;;;;x
opinion_of_lf_angel_EXPLANATION; (opinion of the divine);;;;;;;;;;;;;x
lf_angel_opinion;Angelic opinion;;;;;;;;;;;;;x
opinion_of_lf_angel;Opinion of the divine;;;;;;;;;;;;;x
lf_demon_opinion_EXPLANATION; (opinion from demons);;;;;;;;;;;;;x
opinion_of_lf_demon_EXPLANATION; (opinion of demons);;;;;;;;;;;;;x
lf_demon_opinion;Demonic opinion;;;;;;;;;;;;;x
opinion_of_lf_demon;Opinion of demons;;;;;;;;;;;;;x
lf_angel_bf_opinion_EXPLANATION; (opinion from the divine);;;;;;;;;;;;;x
opinion_of_lf_angel_bf_EXPLANATION; (opinion of the divine);;;;;;;;;;;;;x
lf_angel_bf_opinion;Angelic opinion;;;;;;;;;;;;;x
opinion_of_lf_angel_bf;Opinion of the divine;;;;;;;;;;;;;x
lf_demon_bf_opinion_EXPLANATION; (opinion from demons);;;;;;;;;;;;;x
