LFNPCAshaTitle;Luxuria - Asha the Dancer;;;;;;;;;;;;;x
LFNPCAsha;It's high time for a night out on the town. The local tavern is hosting a troupe of dancers from foreign lands, and I would be remiss if I didn't at least turn up to the show. As I enter, I am greated by the troupe manager, whom ushers me to a chair by a makeshift platform. She explains that her dancing troupe is traveling the land looking for patronage.\n\n The show starts and I am presented with the sight of a woman of dark skin going by the name of Asha. Asha's movement is very fluid, and I can quickly see that her quality is well above the other dancers. I verify my assessment that she's of Egyptian heritage with the manager. Apparently Asha took to a life of adventure early in life that didn't go so well, spent time on a pirate ship, and then found herself passing through our lands when she heard of the desire for exotic dancers. \n\n I watch as Asha never stops moving. Whether it's her shoulders rolling, or her hips swaying, her body keeps you entranced. And while the crowd grows excited, it's obvious that she enjoys the attention as well. \n\n The manager breaks my gaze as she inquires if I'd like to be the troupe's patron. She also hints that Asha might be interested in settling down, if I were bold enough to ask.;;;;;;;;;;;;;x
LFNPCAshaTTA;Invite Asha to stay in your court.;;;;;;;;;;;;;x
LFNPCAshaTTB;Invite Asha to stay in your court... and bed.;;;;;;;;;;;;;x
LFNPCAshaTTC;Let Asha move on.;;;;;;;;;;;;;x
LFNPCAshaTTD;Banish Asha from your lands.;;;;;;;;;;;;;x
LFNPCAshaTTE;Such succulent flesh... I must have her!;;;;;;;;;;;;;x
LFNPCAshaSkills;§YAsha makes for a great spymaster or chancellor.§!;;;;;;;;;;;;;x
LFNPCAshaLover;§GAsha will become your lover.§!;;;;;;;;;;;;;x
LFNPCAshaRemove;Asha will finish up her business, resupply, and then move on. It is possible she will return in the future.;;;;;;;;;;;;;x
LFNPCAshaBanish;§RAsha will be so insulted that she will leave immediately, never to return.§!;;;;;;;;;;;;;x
LFNPCAshaOmnomnom;§GNobody will ever find out the fate of Asha.§!\n§RBut they will wonder about the strange meat in the evening stew.§!;;;;;;;;;;;;;x

LFNPCCharlotteTitle;Luxuria - Charlotte The Bard;;;;;;;;;;;;;x
LFNPCCharlotte;Word has reached me of a new bard playing in the local tavern. I have time to kill, so I figure an hour or two listening to the newcomer will fill the time until I need to sleep.\n\n As I arrive, it's clear that the bard- a woman with flaming red hair- almost seems to be more fantasy than reality as she takes the small stage in Bordello. Charlotte is her name.\n\n  While a beauty like hers typically makes it hard to look anywhere else, something about her commands me to meet her gaze. When I do, her eyes seem to only be looking at me. Her full lips then begin a song, softly, quietly. As though demanding that everyone quiets down to hear her. \n\n  The effect works as all eyes are on her. As the song continues her voice gets stronger. Her body accentuates the song and I feel almost as though she's a snake charmer as her performance is bewitching. \n\n  It's a few moments where her lips slowly curve into a smile that we realize that the song has ended and the room breaks into heart felt applause. The tavernkeep mentions that she will be leaving in a few days, as she is looking for a home to settle down to. Perhaps I can offer her permanent patronage?;;;;;;;;;;;;;x
LFNPCCharlotteTTA;Invite Charlotte to stay in your court.;;;;;;;;;;;;;x
LFNPCCharlotteTTB;Invite Charlotte to stay in your court... and bed.;;;;;;;;;;;;;x
LFNPCCharlotteTTC;Let Charlotte move on.;;;;;;;;;;;;;x
LFNPCCharlotteTTD;Banish Charlotte from your lands.;;;;;;;;;;;;;x
LFNPCCharlotteTTE;I can entice her with my writings!;;;;;;;;;;;;;x
LFNPCCharlotteTTF;I can seduce her with a romantic poem!;;;;;;;;;;;;;x
LFNPCCharlotteSkills;§YCharlotte makes for a great priestess or diplomat.§!;;;;;;;;;;;;;x
LFNPCCharlotteLover;§GCharlotte will become your lover.§!;;;;;;;;;;;;;x
LFNPCCharlotteRemove;Charlotte will finish up her business, resupply, and then move on. It is possible she will return in the future.;;;;;;;;;;;;;x
LFNPCCharlotteBanish;§RCharlotte will be so insulted that she will leave immediately, never to return.§!;;;;;;;;;;;;;x
LFNPCCharlottePoet;§GIntrigued by your collection of poetry and writings, Charlotte agrees to stay for free.§!;;;;;;;;;;;;;x
LFNPCCharlottePoetLover;§GIntrigued by your romantic gesture, Charlotte agrees to stay- as your lover- for free.§!;;;;;;;;;;;;;x

LFNPCLenoraTitle;Luxuria - Lenora The Gypsy;;;;;;;;;;;;;x
