#
# Luxuria Fantasia Options Menu
#

DemonOn;Demonic/Fallen content is ON.\n;;;;;;;;;;;;;x
DemonOff;Demonic/Fallen content is OFF. Existing demons will still remain. Society of Seduction disabled.\n;;;;;;;;;;;;;x
DivineOn;Divine content is ON.\n;;;;;;;;;;;;;x
DivineOff;Divine content is OFF. Existing divines will still remain.\n;;;;;;;;;;;;;x
ElfOn;Elven content is ON.\n;;;;;;;;;;;;;x
ElfOff;Elven content is OFF. Existing elvens will still remain.\n;;;;;;;;;;;;;x
OrcOn;Orcish content is ON.\n;;;;;;;;;;;;;x
OrcOff;Orcish content is OFF. Existing orcs will still remain.\n;;;;;;;;;;;;;x
FairyOn;Fairy content is ON.\n;;;;;;;;;;;;;x
FairyOff;Fairy content is OFF. Existing fairies will still remain.\n;;;;;;;;;;;;;x
KitsuneOn;Kitsune content is ON.\n;;;;;;;;;;;;;x
KitsuneOff;Kitsune content is OFF. Existing kitsune will still remain.\n;;;;;;;;;;;;;x
NekoOn;Neko content is ON.\n;;;;;;;;;;;;;x
NekoOff;Neko content is OFF. Existing nekos will still remain.\n;;;;;;;;;;;;;x
ClassicOn;Random vampire attacks are ON.\n;;;;;;;;;;;;;x
ClassicOff;Random vampire attacks are OFF.\n;;;;;;;;;;;;;x
ClassicBFOff;Blood Feud attacks are OFF.\n;;;;;;;;;;;;;x
ClassicBFNoFatal;Blood Feud attacks are ON. Failure is never fatal.\n;;;;;;;;;;;;;x
ClassicBFOn;Blood Feud attacks are ON. Failure results in death.\n;;;;;;;;;;;;;x
HalfDragonOn;Half-dragon content is ON.\n;;;;;;;;;;;;;x
HalfDragonOff;Half-dragon content is OFF.\n;;;;;;;;;;;;;x
SpecialNPCsOn;Special NPCs will RARELY spawn.\n;;;;;;;;;;;;;x
SpecialNPCsOff;Special NPCs will NEVER spawn.\n;;;;;;;;;;;;;x
SillyOn;Silly Mode is ON.\n;;;;;;;;;;;;;x
SillyOff;Silly Mode is OFF.\n;;;;;;;;;;;;;x

lf_a_luxuria_fantasia_options;Luxuria Fantasia Options Menu;;;;;;;;;;;;;x
lf_a_luxuria_fantasia_options_desc;This is the options menu for Luxuria Fantasia. You can set various content rules here.;;;;;;;;;;;;;x
LFOptionsNextPage;Next page;;;;;;;;;;;;;x
LFOptionsGoBack;Go back to the hub;;;;;;;;;;;;;x
LFOptionsFirstPage;First page;;;;;;;;;;;;;x
LFOptionsExit;Exit;;;;;;;;;;;;;x
LFOptions1;This is the Luxuria Fantasia Options Menu. Here, you can set various content on or off. If you do not have the appropriate module installed, the options wont do anything.\n\n[DemonOnOff][DivineOnOff][ElfOnOff][OrcOnOff][FairyOnOff][KitsuneOnOff][NekoOnOff][ClassicOnOff][BFAttacksOnOff]\n[SillyOnOff][SpecialNPCsOnOff];;;;;;;;;;;;;x
LFOptions2A;Heaven & Hell content;;;;;;;;;;;;;x
LFOptions2B;Fae content;;;;;;;;;;;;;x
LFOptions4A;Far East content;;;;;;;;;;;;;x
LFOptions3C;Turn off random vampire attacks;;;;;;;;;;;;;x
LFOptions3D;Turn on random vampire attacks;;;;;;;;;;;;;x
LFOptions3E;Turn off Blood Feud attacks;;;;;;;;;;;;;x
LFOptions3F;Turn off Blood Feud fatalities;;;;;;;;;;;;;x
LFOptions3G;Turn on Blood Feud attacks;;;;;;;;;;;;;x
LFOptions7G;Turn off Silly Mode;;;;;;;;;;;;;x
LFOptions7H;Turn on Silly Mode;;;;;;;;;;;;;x
LFOptions7I;Turn off spawning special NPCs;;;;;;;;;;;;;x
LFOptions7J;Turn on spawning special NPCs;;;;;;;;;;;;;x
LFOptions8A;DWSE Half-dragons content option;;;;;;;;;;;;;x
LFOptions8C;Other Mod options;;;;;;;;;;;;;x
LFOptions400A;Turn off Divines;;;;;;;;;;;;;x
LFOptions400B;Turn on Divines;;;;;;;;;;;;;x
LFOptions400C;Turn off Demons;;;;;;;;;;;;;x
LFOptions400D;Turn on Demons;;;;;;;;;;;;;x
LFOptions401A;Turn off Elves;;;;;;;;;;;;;x
LFOptions401B;Turn on Elves;;;;;;;;;;;;;x
LFOptions401C;Turn off Orcs;;;;;;;;;;;;;x
LFOptions401D;Turn on Orcs;;;;;;;;;;;;;x
LFOptions401E;Turn off Fairies;;;;;;;;;;;;;x
LFOptions401F;Turn on Fairies;;;;;;;;;;;;;x
LFOptions402A;Turn off Kitsune;;;;;;;;;;;;;x
LFOptions402B;Turn on Kitsune;;;;;;;;;;;;;x
LFOptions402C;Turn off Nekos;;;;;;;;;;;;;x
LFOptions402D;Turn on Nekos;;;;;;;;;;;;;x

LFOptionsHHContent;Heaven & Hell options;;;;;;;;;;;;;x
LFOptionsFaeContent;Fae options;;;;;;;;;;;;;x
LFOptionsFarEastContent;Far East options;;;;;;;;;;;;;x
LFOptionsClassicContent;Vampire options;;;;;;;;;;;;;x
LFOptionsCoreOptions;Luxuria Fantasia Core options;;;;;;;;;;;;;x
LFOptionsSubModOptions;Other Mod options;;;;;;;;;;;;;x
LFOptionsRacialOptions;Luxuria Fantasia Racial Options;;;;;;;;;;;;;x
