#
# CBs
#
lf_rivalry_cb_fae;Blood Feud;;;;;;;;;;;;;;x
lf_rivalry_cb_fae_desc;A neighbor of ours is a long-hated enemy. It's time to wipe them off the map.;;;;;;;;;;;;;;x
#
# Traits
#
lf_unicorn;Unicorn;;;;;;;;;;;;;x
lf_unicorn_desc;A majestic and mythical creature. They only appear to sylphs with a good heart.;;;;;;;;;;;;;x
lf_elf;[Silly_Elf_N];;;;;;;;;;;;;x
lf_elf_desc;[Silly_Elf_D];;;;;;;;;;;;;x
lf_silly_elf_n;Tree Hugger;;;;;;;;;;;;;x
lf_no_silly_elf_n;Elf;;;;;;;;;;;;;x
lf_silly_elf_d;Tree Huggers are knife-ears of the worst variety. They will happily sell you any crafts made from wood, but may the gods help you if you dare try the same to them. Tales tell of great dwarven fortresses falling to the Tree Huggers because someone tossed a wooden puzzle box into the trade depot.;;;;;;;;;;;;;x
lf_no_silly_elf_d;A rarity to be seen. Most have died or moved on from our earthly realm, over to the lands of the fae.;;;;;;;;;;;;;x

lf_orc;Orc;;;;;;;;;;;;;x
lf_orc_desc;They're a primitive, bestial species of legend. Not seen in centuries, most believe them to never have existed.;;;;;;;;;;;;;x
lf_elf_bf;Elf (§RBlood Feud§!);;;;;;;;;;;;;x
lf_elf_bf_desc;A rarity to be seen. Most have died or moved on from our earthly realm, over to the lands of the fae.;;;;;;;;;;;;;x
lf_orc_bf;Orc (§RBlood Feud§!);;;;;;;;;;;;;x
lf_orc_bf_desc;They're a primitive, bestial species of legend. Not seen in centuries, most believe them to never have existed.;;;;;;;;;;;;;x
lf_fairy;Fairy;;;;;;;;;;;;;x
lf_fairy_desc;One of the fae, known to be able to grow to human size, while others claim they're just part fae.;;;;;;;;;;;;;x
lf_elf_immortality;Elven Immortality;;;;;;;;;;;;;x
lf_elf_immortality_desc;You really shouldn't be seeing this.;;;;;;;;;;;;;x
#
# Modifier definitions
#
lf_elf_opinion_EXPLANATION; (opinion from elves);;;;;;;;;;;;;x
opinion_of_lf_elf_EXPLANATION; (opinion of elves);;;;;;;;;;;;;x
lf_elf_opinion;Elven opinion;;;;;;;;;;;;;x
opinion_of_lf_elf;Opinion of elves;;;;;;;;;;;;;x
lf_fairy_opinion_EXPLANATION; (opinion from fairies);;;;;;;;;;;;;x
opinion_of_lf_fairy_EXPLANATION; (opinion of fairies);;;;;;;;;;;;;x
lf_fairy_opinion;Fae opinion;;;;;;;;;;;;;x
opinion_of_lf_fairy;Opinion of fairies;;;;;;;;;;;;;x
lf_orc_opinion_EXPLANATION; (opinion from orcs);;;;;;;;;;;;;x
opinion_of_lf_orc_EXPLANATION; (opinion of orcs);;;;;;;;;;;;;x
lf_orc_opinion;Orcish opinion;;;;;;;;;;;;;x
opinion_of_lf_orc;Opinion of orcs;;;;;;;;;;;;;x
lf_elf_bf_opinion_EXPLANATION; (opinion from elves);;;;;;;;;;;;;x
opinion_of_lf_elf_bf_EXPLANATION; (opinion of elves);;;;;;;;;;;;;x
lf_elf_bf_opinion;Elven opinion;;;;;;;;;;;;;x
opinion_of_lf_elf_bf;Opinion of elves;;;;;;;;;;;;;x
lf_orc_bf_opinion_EXPLANATION; (opinion from orcs);;;;;;;;;;;;;x
opinion_of_lf_orc_bf_EXPLANATION; (opinion of orcs);;;;;;;;;;;;;x
lf_orc_bf_opinion;Orcish opinion;;;;;;;;;;;;;x
opinion_of_lf_orc_bf;Opinion of orcs;;;;;;;;;;;;;x
lf_unicorn_opinion_EXPLANATION; (opinion from unicorns);;;;;;;;;;;;;x
opinion_of_lf_unicorn_EXPLANATION; (opinion of unicorns);;;;;;;;;;;;;x
lf_unicorn_opinion;Unicorn opinion;;;;;;;;;;;;;x
opinion_of_lf_unicorn;Opinion of unicorns;;;;;;;;;;;;;x
#
# Titles
#
