#
# Customizable Loc
#

LFYesAdult;§GAdult§!;;;;;;;;;;;;;x
LFNoAdult;§RAdult§!;;;;;;;;;;;;;x
LFNeutralAdult;Adult;;;;;;;;;;;;;x
LFYesFemale;§GFemale§!;;;;;;;;;;;;;x
LFNoFemale;§RFemale§!;;;;;;;;;;;;;x
LFNeutralFemale;Female;;;;;;;;;;;;;x
LFYesAnyDemon;§GHalf-Demon, Demon, or Fallen§!;;;;;;;;;;;;;x
LFNoAnyDemon;§RHalf-Demon, Demon, or Fallen§!;;;;;;;;;;;;;x
LFNeutralAnyDemon;Half-Demon, Demon, or Fallen;;;;;;;;;;;;;x
LFYesDemon;§GDemon or Fallen§!;;;;;;;;;;;;;x
LFNoDemon;§RDemon or Fallen§!;;;;;;;;;;;;;x
LFNeutralDemon;Demon or Fallen;;;;;;;;;;;;;x
LFYesToNTKitsune;§GNot a Kitsune if Tale of Nine Tails is installed§!;;;;;;;;;;;;;x
LFNoToNTKitsune;§RNot a Kitsune if Tale of Nine Tails is installed§!;;;;;;;;;;;;;x
LFNeutralToNTKitsune;Not a Kitsune if Tale of Nine Tails is installed;;;;;;;;;;;;;x
LFYesPrisoner;§GNot a prisoner§!;;;;;;;;;;;;;x
LFNoPrisoner;§RNot a prisoner§!;;;;;;;;;;;;;x
LFNeutralPrisoner;Not a prisoner;;;;;;;;;;;;;x
LFYesIncapable;§GNot incapable§!;;;;;;;;;;;;;x
LFNoIncapable;§RNot incapable§!;;;;;;;;;;;;;x
LFNeutralIncapable;Not incapable;;;;;;;;;;;;;x
LFYesAsexual;§GNot Asexual§!;;;;;;;;;;;;;x
LFNoAsexual;§RNot Asexual§!;;;;;;;;;;;;;x
LFNeutralAsexual;Not Asexual;;;;;;;;;;;;;x
LFYesPerfectBody;§GHas any ugly, disfiguring, or scarring trait , or does not have Attractive§!;;;;;;;;;;;;;x
LFNoPerfectBody;§RHas any ugly, disfiguring, or scarring trait, or does not have Attractive§!;;;;;;;;;;;;;x
LFNeutralPerfectBody;Has any ugly, disfiguring, or scarring trait, or does not have Attractive;;;;;;;;;;;;;x
LFYesMinor;§GHas a minor illness or injury§!;;;;;;;;;;;;;x
LFNoMinor;§RHas a minor illness or injury§!;;;;;;;;;;;;;x
LFNeutralMinor;Has a minor illness or injury;;;;;;;;;;;;;x
LFYesModerate;§GHas a moderate illness or injury§!;;;;;;;;;;;;;x
LFNoModerate;§RHas a moderate illness or injury§!;;;;;;;;;;;;;x
LFNeutralModerate;Has a moderate illness or injury;;;;;;;;;;;;;x
LFYesMajor;§GHas a major illness or injury§!;;;;;;;;;;;;;x
LFNoMajor;§RHas a major illness or injury§!;;;;;;;;;;;;;x
LFNeutralMajor;Has a major illness or injury;;;;;;;;;;;;;x


#
# Society
#

lf_society_seduction;Society of Seduction;;;;;;;;;;;;;x
lf_society_seduction_desc;The Society of Seduction is a cult that views sex as holy and sacred. Watched over by the various goddesses of sex and hedonism in the world, the society's main goal is to bring the pleasures of the flesh to those who have not yet experienced such a thing. Needless to say, most of the highest members of the society are demons specialized in seduction.;;;;;;;;;;;;;x
lf_society_seduction_leader_desc;The Ascendant has risen above their kin, to be recognized and favored by [GetLilithName].;;;;;;;;;;;;;x
lf_society_seduction_rank_1_male;Slave;;;;;;;;;;;;;x
lf_society_seduction_rank_2_male;Pet;;;;;;;;;;;;;x
lf_society_seduction_rank_3_male;Lover;;;;;;;;;;;;;x
lf_society_seduction_rank_4_male;Master;;;;;;;;;;;;;x
lf_society_seduction_rank_1_female;Slave;;;;;;;;;;;;;x
lf_society_seduction_rank_2_female;Pet;;;;;;;;;;;;;x
lf_society_seduction_rank_3_female;Lover;;;;;;;;;;;;;x
lf_society_seduction_rank_4_female;Mistress;;;;;;;;;;;;;x
currency_name_lf_society_seduction;Sexual Favor;;;;;;;;;;;;;x
lf_society_seduction_recruit_block_tooltip;Has not been approached by a Society of Seduction before.;;;;;;;;;;;;;x

#
# Quests
#

quest_lilith_seduce_virgin;Seduce Virgin;;;;;;;;;;;;;x
quest_lilith_seduce_virgin_desc;[GetLilithName] has commanded you to take someone's virginity and turn them to our ways.;;;;;;;;;;;;;x
quest_lilith_seduce_virgin_tooltip;To complete this mission, use your §YDemonic Seduction§! on the target.;;;;;;;;;;;;;x
quest_lilith_seduce_priest;Seduce Priest;;;;;;;;;;;;;x
quest_lilith_seduce_priest_desc;[GetLilithName] has commanded you to seduce a priest and turn them to our ways.;;;;;;;;;;;;;x
quest_lilith_seduce_priest_tooltip;To complete this mission, use your §YDemonic Seduction§! on the target.;;;;;;;;;;;;;x
quest_lilith_seduce_ruler;Seduce Foreign Ruler;;;;;;;;;;;;;x
quest_lilith_seduce_ruler_desc;[GetLilithName] has commanded you to seduce a foreign ruler and turn them to our ways.;;;;;;;;;;;;;x
quest_lilith_seduce_ruler_tooltip;To complete this mission, use your §YDemonic Seduction§! on the target.;;;;;;;;;;;;;x
quest_lilith_seduce_spouse;Seduce Ruler's Spouse;;;;;;;;;;;;;x
quest_lilith_seduce_spouse_desc;[GetLilithName] has commanded you to seduce a foreign ruler's own spouse and turn them to our ways.;;;;;;;;;;;;;x
quest_lilith_seduce_spouse_tooltip;To complete this mission, use your §YDemonic Seduction§! on the target.;;;;;;;;;;;;;x

#
# Tooltips
#

lf_max_consorts_1;Men and women will now be able to take a maximum of one consort.;;;;;;;;;;;;;x
lf_max_consorts_2;Men and women will now be able to take a maximum of two consorts.;;;;;;;;;;;;;x
lf_max_consorts_3;Men and women will now be able to take a maximum of three consorts.;;;;;;;;;;;;;x
lilith_seduction;Demonic Seduction successes;;;;;;;;;;;;;x
lf_change_sexuality_backfire;Catastrophic Backfire;;;;;;;;;;;;;x
lf_society_seduction_invite_society_member_to_court_tooltip;Place a call to one of the Society of Seduction to join your court.;;;;;;;;;;;;;x
lf_disapproves_of_satanism_tooltip;You've not spoken out against devil or demon worship to a society member.;;;;;;;;;;;;;x
lf_opinion_recently_seduced;Recently seduced;;;;;;;;;;;;;x
LFHHDemonOrSociety;Be a member of the Society of Seduction or be a Demon/Fallen.;;;;;;;;;;;;;x

#
# Opinion Modifiers
#

lf_mind_slave;Mind Slave;;;;;;;;;;;;;x
lf_demon_charmed;Charmed;;;;;;;;;;;;;x
lf_changed_sexuality;Changed my sexuality;;;;;;;;;;;;;x

#
# Custom Loc
#

LilithJudeoChristianIslam;Lilith;;;;;;;;;;;;;x
LilithIndian;Rati;;;;;;;;;;;;;x
LilithNorse;Freyja;;;;;;;;;;;;;x
LilithFarEastern;Bai Mudan;;;;;;;;;;;;;x
LilithHellenic;Hedone;;;;;;;;;;;;;x
LilithIrish;Cliodhna;;;;;;;;;;;;;x
LilithSlavic;Dzydzilelya;;;;;;;;;;;;;x
LilithAztec;Tiacapan;;;;;;;;;;;;;x
LilithFallback;Lilith;;;;;;;;;;;;;x

#
# Powers/Decisions
#

lf_demonic_seduction;Demonic Seduction;;;;;;;;;;;;;x
lf_demonic_seduction_power_desc;Enables §Gright-clicking§! a character's portrait to seduce them. Functionally the same as the normal seduction without needing the focus. Those with demonic blood get bonuses to success.\nRequirements to use:\n[LFAdultTT]\n[LFPrisonerTT]\n[LFIncapableTT]\n[LFAsexualTT];;;;;;;;;;;;;x
lf_demonic_seduction_desc;Demonic children of [GetLilithName], or members of the Society of Seduction, can draw upon their unholy powers to persuade someone into bed with them.\n§GThis is identical to the vanilla Seduction focus without needing the focus.\nDemons have a higher chance of successfully seducing someone.§!;;;;;;;;;;;;;x

lf_demonic_charm;Demonic Charm;;;;;;;;;;;;;x
lf_demonic_charm_power_desc;Enables §Gright-clicking§! a character's portrait to grant a sizable bonus to opinion. Required for some powers.\nRequired to use:\n[LFAnyDemonTT]\n[LFAdultTT]\n[LFPrisonerTT]\n[LFIncapableTT];;;;;;;;;;;;;x
lf_demonic_charm_desc;Demonic children of [GetLilithName] who hold the second highest rank in the Society of Seduction can draw upon their unholy powers to persuade someone into liking them more.;;;;;;;;;;;;;x

lf_demonic_mind_control;Demonic Mind Control;;;;;;;;;;;;;x
