lf_b_potion_shopping;Go Potion Shopping;;;;;;;;;;;;;x
lf_b_potion_shopping_desc;A local alchemist has set up shop in your holding. Pay her a visit and you can buy potions that have various effects.;;;;;;;;;;;;;x
lf_potion_temp;Temp Potion CD;;;;;;;;;;;;;x
lf_potion_temp_desc;You should never see this.;;;;;;;;;;;;;x
lf_potion_cd;Recently Bought Potion;;;;;;;;;;;;;x
lf_potion_cd_desc;This character has recently bought a potion. The alchemist warns against drinking more than one within a period of two years.;;;;;;;;;;;;;x
lf_beauty_potion;Beautiful;;;;;;;;;;;;;x
lf_beauty_potion_desc;This character is glowing with unnatural beauty and sex appeal.;;;;;;;;;;;;;x

LFPotions1T;LF - Potion Shopping;;;;;;;;;;;;;x
LFPotions1;The inside of the shop is extremely cluttered, with potions, alembics, and various other alchemic instruments and creations scattered around. Despite the clutter, it's surprisingly ordered, with everything being where it should.\n\nThe resident alchemist is a woman, likely a mage considering her weaving of aetherical energies into her current work, and pays you no mind while she toils away at her project. "If you have any questions, feel free to ask," she speaks, never looking up from her alchemical equipment.\n\nThe shelves on the left wall of the shop are stocked labeled with potions for bodily enhancement, the right wall is stocked and labeled with potions for mental enhancement, and the shelf on the wall behind the counter isn't labeled, but it's clear the potions for sale there are of the more... exotic variety.;;;;;;;;;;;;;x
LFPotions1TTA;Potions of Bodily Enhancement;;;;;;;;;;;;;x
LFPotions1TTB;Potions of Mental Enhancement;;;;;;;;;;;;;x
LFPotions1TTC;Exotic Potions;;;;;;;;;;;;;x
LFPotions1TTD;"Just browsing today, thank you.";;;;;;;;;;;;;x

LFPotions2T;LF - Bodily Enhancement;;;;;;;;;;;;;x
LFPotions2;The shelf is stocked with three varieties of potions:\n\nPotions of Strength, which enhances your martial strength for a time.\n\nPotions of Beauty, to alchemically dissolve any disfigurement that might be seen as unattractive.\n\nPotions of Resist Disease, which grants temporary immunity to most disease outbreaks.;;;;;;;;;;;;;x
LFPotions2TTA;Potion of Strength;;;;;;;;;;;;;x
lf_strength_potion_tooltip;This potion enhances your muscles and grants you a temporary boost to physical strength and martial capacity.;;;;;;;;;;;;;x
LFPotions2TTB;Potion of Beauty;;;;;;;;;;;;;x
